situation.STAND,"(92.90802176900357, 1061.9435481658008)","(-108.46532184946068, 1239.7643017751773)","(-127.55085730235425, 1213.5653428231356)","(-141.8863830594428, 1155.5718570484094)","(-158.90088802115463, 1130.6385674856879)","(-175.6759042401792, 1109.1740064883397)","(-193.7479542318775, 1098.7992504233712)"
situation.STAND,"(730.264528270407, 730.264528270407)","(765.5682557121273, 945.3980621124051)","(738.6398550219585, 945.4159016396648)","(713.0003486793893, 946.1834205285302)","(683.5942484161462, 940.8867644580639)","(659.3261135855274, 941.615274910196)","(630.7695951150024, 935.1543818420871)","(614.8974705319656, 946.8590712103837)"
situation.STAND,"(192.26763897633043, 1368.0553369664794)","(167.47894517452394, 1364.0065488930868)","(143.17786256086833, 1362.2463661806923)","(118.98937778624027, 1360.0548115697557)","(95.07807371324269, 1359.6798005041403)","(71.22923644664674, 1359.134796800975)","(47.42841601869897, 1358.1721339189512)","(8.427100786632724e-14, 1376.25)"
situation.STAND,"(88.64303901034714, 1267.6545168676716)","(-52.60226640484456, 1506.3318240245321)","(-78.07216272541147, 1489.7056084701355)","(-103.03031172007312, 1473.4021022337604)","(-125.32995807113254, 1432.52797585593)","(-147.7771149446452, 1406.0053295768964)","(-170.98268879742176, 1392.5422507527749)","(-196.06010597749207, 1395.0401418396873)"
situation.STAND,"(704.1863543371205, 590.8825102043512)","(696.2195877555072, 605.2144542437429)","(696.3267014723184, 626.9753781582501)","(692.2262785825449, 645.5114477991548)","(694.1629073267984, 670.3453274929324)","(690.1362184380704, 690.1362184380704)","(687.3644575691778, 711.7867324350954)","(697.0023239838735, 747.4434830547922)","(506.4273419824487, 672.0517817047969)","(481.0872359894399, 687.0637771473919)"
situation.STAND,"(851.6758569710846, 293.2555151272839)","(843.3741271553528, 306.9630786347877)","(839.2888034209843, 322.17278664122495)","(846.0552672921935, 341.82851649201973)","(841.3414360555305, 357.1282514391962)","(834.9805482853371, 371.7572917712814)","(842.4130880505661, 392.8236742879801)","(841.2712273360204, 410.31539339457646)","(842.4466686201018, 429.24801750374144)","(657.0580549884711, 364.2132272100607)","(650.8180909440057, 375.74999999999994)","(647.3756038552704, 388.9825060758184)","(650.876913800057, 406.7130352989848)","(652.2760342195536, 423.5930094829373)"
situation.STAND,"(713.148480541516, -518.1326998958152)","(723.3112551071796, -506.46799329797403)","(738.2579583602648, -497.9612805406998)","(751.0294935951273, -487.72425585595664)","(769.8156592859956, -481.03421210769187)","(786.4509983941879, -472.547433729975)","(813.1978541535876, -469.5000000000004)","(837.8856794395413, -464.44761619599075)","(856.0176912767297, -455.15268012092116)","(826.9965924864683, -190.9272073743557)","(814.5524145110766, -173.13846052848953)","(797.8174933470889, -155.08001099228667)"
situation.STAND,"(63.73623047745141, -606.4097257008048)","(74.73637484320682, -608.6789274940407)","(86.04376966856047, -612.2332334994759)","(98.86658190542579, -624.2190312561271)","(111.00459757358499, -629.5383561130541)","(124.7890829762605, -641.9841779747721)","(137.74149516676562, -648.0227854861462)","(150.26730430170176, -650.8792032765372)","(166.32130322477136, -667.0783118147476)","(179.2321887334953, -668.9036347051799)","(196.94289073124605, -686.8214817479287)","(403.22423475478536, -575.8638871351612)","(403.36762938570956, -555.1879123898078)","(399.1538141055958, -529.6950020388671)","(400.9495358058351, -513.1920032863776)","(403.39437066294585, -498.15056129391826)","(405.5989817122063, -483.37404360807517)","(410.3649226335622, -472.07084242934405)"
situation.STAND,"(-522.4917638299992, -339.3101188143619)","(-514.0032949841259, -346.69960015186297)","(-499.8875350273572, -350.0250202832259)","(-406.1061568590484, -306.0229392728166)","(-396.76341444098455, -309.9855528264689)","(-382.3558130368296, -309.62563239652013)","(-375.553288239079, -315.1266256488259)","(-371.88314565477094, -323.27308653507237)","(-364.88410930940057, -328.5431277221994)","(-357.2662832409648, -333.15619889053045)","(-351.0378225652617, -338.99328478399065)","(-345.2448859143319, -345.2448859143318)","(-340.0352723396792, -352.11683226576974)","(-338.10068700098367, -362.56859757770377)","(-333.3943246183011, -370.27190929411177)","(-333.4420014844253, -383.58114414822387)","(-334.0888601345789, -398.1515993110888)","(-331.3371858877396, -409.167348707095)","(-328.60931245507, -420.60073973758796)","(-329.1928176641704, -436.85362399586916)","(-326.22081502232265, -449.0044318780958)","(-323.3537159929024, -461.796964967919)"
situation.STAND,"(-300.0096786351067, -499.2999526589803)","(-294.7500000000003, -510.5219755309265)","(-288.21931923644723, -519.9614158943708)","(-283.2087202505886, -532.6381353921477)","(-276.70720959125384, -543.0684764928102)","(-271.1325542890446, -555.9041176360347)","(-264.0307590225018, -566.2157899511471)","(-258.6845049962089, -581.0149110606942)","(-252.9984056968048, -596.0268926104551)","(-244.8054087972987, -605.9146489593955)","(-240.9128540818284, -627.5994417127438)","(-231.88965717480326, -637.1115968928459)","(-226.35125938633817, -657.371789685425)","(-113.7276948773146, -535.0467376013917)","(-104.8972452082554, -539.6495441003533)","(-96.37473860514633, -546.5683029217754)","(-87.40775734122909, -551.8708603075331)","(-79.88535995107779, -568.4138714576613)"
situation.STAND,"(-147.99165941664137, -839.3024075046543)","(-119.51490044945653, -850.3927040318234)","(-31.40082215807506, -899.2018966104314)","(-15.31884975032559, -877.6163144235225)","(-1.5729057326548817e-13, -856.25)","(14.494223546163639, -830.3735108273829)"
situation.STAND,"(190.5227818834803, -980.1547426724924)","(208.2755362766905, -979.8593590350897)","(226.13204737917022, -979.4855076253577)","(244.52255597736385, -980.7264053334635)","(261.9895784050262, -977.7584176611095)","(281.7013776449734, -982.4094532489618)","(298.5115105219142, -976.3871558382592)","(315.6608597540086, -971.5042313954995)","(333.7887503571995, -969.3929196331997)","(352.79377784042754, -969.2929383406645)","(355.59530880005445, -880.129273947523)","(367.77567469052866, -866.4251933121096)","(380.8071820797175, -855.3069347178853)","(394.51414733494306, -846.0383191987127)","(408.1235376606311, -836.7772571045246)","(423.23264338219235, -830.6408321746061)","(437.31276073505694, -822.4656827480906)","(450.99414923415526, -813.6149825664228)","(470.3750000000001, -814.7133986102106)","(489.92996875818903, -815.3803947928843)"
